Date,High,Low,Open,Close,Volume,Adj Close
1997-06-18,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-06-19,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-06-20,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-06-23,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-06-24,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-06-25,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-06-26,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-06-27,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-06-30,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-01,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-02,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-03,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-07,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-08,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-09,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-10,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-11,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-14,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-15,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-16,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-17,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-18,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-21,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-22,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-23,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-24,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-25,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-28,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-29,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-30,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-07-31,25.5,25.5,25.5,25.5,400.0,19.00204849243164
1997-08-01,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-04,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-05,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-06,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-07,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-08,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-11,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-12,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-13,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-14,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-15,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-18,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-19,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-20,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-21,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-22,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-25,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-26,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-27,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-28,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-08-29,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-02,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-03,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-04,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-05,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-08,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-09,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-10,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-11,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-12,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-15,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-16,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-17,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-18,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-19,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-09-22,25.3125,25.3125,25.3125,25.3125,2400.0,18.862321853637695
1997-09-23,25.3125,25.3125,25.3125,25.3125,0.0,18.862321853637695
1997-09-24,25.3125,25.3125,25.3125,25.3125,400.0,18.862321853637695
1997-09-25,25.3125,25.3125,25.3125,25.3125,400.0,18.862321853637695
1997-09-26,25.3125,25.3125,25.3125,25.3125,0.0,18.862321853637695
1997-09-29,25.3125,25.3125,25.3125,25.3125,0.0,18.862321853637695
1997-09-30,25.3125,25.3125,25.3125,25.3125,0.0,18.862321853637695
1997-10-01,25.5,25.5,25.5,25.5,2000.0,19.00204849243164
1997-10-02,25.5,25.5,25.5,25.5,800.0,19.00204849243164
1997-10-03,25.5,25.5,25.5,25.5,800.0,19.00204849243164
1997-10-06,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-07,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-08,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-09,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-10,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-13,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-14,25.5,25.5,25.5,25.5,400.0,19.00204849243164
1997-10-15,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-16,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-17,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-20,25.5,25.5,25.5,25.5,400.0,19.00204849243164
1997-10-21,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-22,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-23,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-24,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-27,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-28,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-29,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-30,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-10-31,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-03,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-04,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-05,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-06,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-07,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-10,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-11,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-12,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-13,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-14,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-17,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-18,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-19,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-20,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-21,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-24,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-25,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-26,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-11-28,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-12-01,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-12-02,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-12-03,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-12-04,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-12-05,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-12-08,25.5,25.5,25.5,25.5,0.0,19.00204849243164
1997-12-09,25.5,25.5,25.5,25.5,0.0,19.00204849243164
