Date,High,Low,Open,Close,Volume,Adj Close
2020-12-17,13.75,13.75,13.75,13.75,0,13.75
2020-12-18,13.75,13.75,13.75,13.75,0,13.75
2020-12-21,13.75,13.75,13.75,13.75,0,13.75
2020-12-22,13.75,13.75,13.75,13.75,0,13.75
2020-12-23,13.75,13.75,13.75,13.75,0,13.75
2020-12-24,13.75,13.75,13.75,13.75,0,13.75
2020-12-28,13.75,13.75,13.75,13.75,0,13.75
2020-12-29,13.75,13.75,13.75,13.75,0,13.75
2020-12-30,13.75,13.75,13.75,13.75,0,13.75
2020-12-31,13.75,13.75,13.75,13.75,0,13.75
2021-01-04,13.75,13.75,13.75,13.75,0,13.75
2021-01-05,13.75,13.75,13.75,13.75,0,13.75
2021-01-06,13.75,13.75,13.75,13.75,0,13.75
2021-01-07,13.75,13.75,13.75,13.75,0,13.75
2021-01-08,13.75,13.75,13.75,13.75,0,13.75
2021-01-11,13.75,13.75,13.75,13.75,0,13.75
2021-01-12,13.75,13.75,13.75,13.75,0,13.75
2021-01-13,13.75,13.75,13.75,13.75,0,13.75
2021-01-14,13.75,13.75,13.75,13.75,0,13.75
2021-01-15,13.75,13.75,13.75,13.75,0,13.75
2021-01-19,13.75,13.75,13.75,13.75,0,13.75
2021-01-20,13.75,13.75,13.75,13.75,0,13.75
2021-01-21,13.75,13.75,13.75,13.75,0,13.75
2021-01-22,13.75,13.75,13.75,13.75,0,13.75
2021-01-25,13.75,13.75,13.75,13.75,0,13.75
2021-01-26,13.75,13.75,13.75,13.75,0,13.75
2021-01-27,13.75,13.75,13.75,13.75,0,13.75
2021-01-28,13.75,13.75,13.75,13.75,0,13.75
2021-01-29,13.75,13.75,13.75,13.75,0,13.75
2021-02-01,13.75,13.75,13.75,13.75,0,13.75
2021-02-02,13.75,13.75,13.75,13.75,0,13.75
2021-02-03,13.75,13.75,13.75,13.75,0,13.75
2021-02-04,13.75,13.75,13.75,13.75,0,13.75
2021-02-05,13.75,13.75,13.75,13.75,0,13.75
2021-02-08,13.75,13.75,13.75,13.75,0,13.75
2021-02-09,13.75,13.75,13.75,13.75,0,13.75
2021-02-10,13.75,13.75,13.75,13.75,0,13.75
2021-02-11,13.75,13.75,13.75,13.75,0,13.75
2021-02-12,13.75,13.75,13.75,13.75,0,13.75
2021-02-16,13.75,13.75,13.75,13.75,0,13.75
2021-02-17,13.75,13.75,13.75,13.75,0,13.75
2021-02-18,13.75,13.75,13.75,13.75,0,13.75
2021-02-19,13.75,13.75,13.75,13.75,0,13.75
2021-02-22,13.75,13.75,13.75,13.75,0,13.75
2021-02-23,13.75,13.75,13.75,13.75,0,13.75
2021-02-24,13.75,13.75,13.75,13.75,0,13.75
2021-02-25,13.75,13.75,13.75,13.75,0,13.75
2021-02-26,13.75,13.75,13.75,13.75,0,13.75
2021-03-01,13.75,13.75,13.75,13.75,0,13.75
2021-03-02,13.75,13.75,13.75,13.75,0,13.75
2021-03-03,13.75,13.75,13.75,13.75,0,13.75
2021-03-04,13.75,13.75,13.75,13.75,0,13.75
2021-03-05,13.75,13.75,13.75,13.75,0,13.75
2021-03-08,13.75,13.75,13.75,13.75,0,13.75
2021-03-09,13.75,13.75,13.75,13.75,0,13.75
2021-03-10,13.75,13.75,13.75,13.75,0,13.75
2021-03-11,13.75,13.75,13.75,13.75,0,13.75
2021-03-12,13.75,13.75,13.75,13.75,0,13.75
